id,created_at,amount,currency,merchant_id,merchant_vertical,country,region,payment_method_type,card_brand,wallet_type,status,failure_code,failure_category,auth_outcome,risk_level,is_disputed,is_refunded,latency_ms,channel,experiment_bucket
pmt_7d560e66a6,2026-02-10T13:42:38Z,11209,usd,m_003,saas,GB,EU,rtp,,,pending,,,not_attempted,normal,0,0,554,mobile,control
pmt_cfb30849dc,2026-02-22T19:18:05Z,935,usd,m_005,ecommerce,BR,LATAM,card,mastercard,,pending,,,not_attempted,normal,0,0,1780,web,control
pmt_189a52bdce,2026-02-16T22:48:28Z,17556,usd,m_001,gaming,CA,NA,card,amex,,succeeded,,,authorized,highest,0,0,1782,web,control
pmt_1483d04d41,2026-02-12T23:33:47Z,46761,usd,m_001,saas,BR,LATAM,card,amex,,succeeded,,,authorized,normal,0,0,1071,api,control
pmt_ff0beec66a,2026-02-26T21:27:25Z,7821,usd,m_005,ecommerce,US,NA,wallet,,apple_pay,succeeded,,,authorized,normal,0,0,1588,mobile,control
pmt_9b1b5f0c9c,2026-02-24T02:37:09Z,48887,usd,m_004,gaming,GB,EU,card,visa,,pending,,,not_attempted,highest,0,0,1971,api,routing_v2
pmt_8031e62125,2026-03-07T04:58:59Z,31850,usd,m_001,ecommerce,CA,NA,card,visa,,failed,fraud_detected,fraud,declined,normal,0,0,1193,mobile,control
pmt_1c4149220f,2026-02-02T02:49:19Z,9088,usd,m_002,fintech,GB,EU,card,discover,,succeeded,,,authorized,normal,0,0,2390,mobile,control
pmt_bc9a6e315d,2026-02-07T20:48:29Z,14950,usd,m_002,marketplace,AU,APAC,card,mastercard,,refunded,,,not_attempted,normal,0,1,535,api,routing_v2
pmt_075b871751,2026-02-14T23:52:37Z,39047,usd,m_002,saas,US,NA,ach,,,succeeded,,,authorized,elevated,0,0,1640,api,control
pmt_3f9cc94db6,2026-03-03T12:40:23Z,15760,usd,m_002,marketplace,CA,NA,card,mastercard,,succeeded,,,authorized,normal,0,0,2164,mobile,auth_opt_v1
pmt_04a1538743,2026-02-20T06:12:48Z,22457,usd,m_005,saas,IN,APAC,rtp,,,succeeded,,,authorized,elevated,0,0,329,web,control
pmt_c98d1a7967,2026-02-16T02:33:51Z,35246,usd,m_001,gaming,US,NA,rtp,,,succeeded,,,authorized,normal,0,0,2503,mobile,control
pmt_84c9f5c28a,2026-03-02T12:49:15Z,25347,usd,m_003,marketplace,US,NA,wallet,,apple_pay,succeeded,,,authorized,normal,0,0,2224,mobile,control
pmt_4e593e11d5,2026-01-09T03:14:20Z,28809,usd,m_002,ecommerce,US,NA,card,discover,,succeeded,,,authorized,elevated,0,0,1758,web,routing_v2
pmt_c74a5d1c4c,2026-02-09T18:38:42Z,30760,usd,m_005,gaming,CA,NA,ach,,,pending,,,not_attempted,normal,0,0,2143,api,routing_v2
pmt_6619e4791b,2026-03-15T02:58:37Z,21147,usd,m_003,ecommerce,BR,LATAM,ach,,,succeeded,,,authorized,elevated,0,0,1530,mobile,auth_opt_v1
pmt_d8c6806239,2026-01-01T02:42:13Z,37385,usd,m_002,gaming,CA,NA,card,mastercard,,succeeded,,,authorized,normal,0,0,2100,api,routing_v2
pmt_0289d7fcff,2026-02-14T21:58:48Z,11108,usd,m_005,fintech,AU,APAC,rtp,,,succeeded,,,authorized,elevated,0,0,334,web,control
pmt_0f976b7300,2026-02-17T22:07:44Z,31065,usd,m_001,saas,AU,APAC,card,discover,,succeeded,,,authorized,normal,0,0,1310,mobile,routing_v2
pmt_fcffd9b4f5,2026-02-02T21:39:30Z,28727,usd,m_005,fintech,BR,LATAM,rtp,,,succeeded,,,authorized,normal,0,0,2284,api,auth_opt_v1
pmt_2e48c94c77,2026-02-19T13:31:34Z,14804,usd,m_002,gaming,DE,EU,ach,,,succeeded,,,authorized,normal,0,0,2615,api,routing_v2
pmt_4056b18ed3,2026-03-04T12:19:16Z,28563,usd,m_004,ecommerce,IN,APAC,card,mastercard,,succeeded,,,authorized,normal,0,0,2464,web,control
pmt_7232bdc597,2026-01-22T04:31:09Z,10078,usd,m_002,ecommerce,IN,APAC,wallet,,google_pay,failed,network_error,technical,declined,elevated,0,0,1505,api,auth_opt_v1
pmt_ff254a58fe,2026-02-19T00:36:04Z,20848,usd,m_004,gaming,DE,EU,card,amex,,failed,do_not_honor,bank_decline,declined,normal,0,0,1820,mobile,routing_v2
pmt_1ab421f2e3,2026-01-06T20:04:36Z,42082,usd,m_003,marketplace,US,NA,card,visa,,succeeded,,,authorized,elevated,0,0,702,web,auth_opt_v1
pmt_3756bafaac,2026-02-16T23:47:01Z,8092,usd,m_005,gaming,CA,NA,card,discover,,failed,fraud_detected,fraud,declined,normal,0,0,2745,mobile,auth_opt_v1
pmt_d906b485a4,2026-02-18T10:31:13Z,1360,usd,m_004,gaming,DE,EU,ach,,,pending,,,not_attempted,normal,0,0,2800,mobile,control
pmt_8b168b86f1,2026-03-13T10:23:36Z,20796,usd,m_001,fintech,US,NA,card,discover,,succeeded,,,authorized,normal,0,0,2603,mobile,routing_v2
pmt_18b17729df,2026-02-15T10:27:50Z,31442,usd,m_002,saas,AU,APAC,card,mastercard,,succeeded,,,authorized,highest,0,0,2453,mobile,routing_v2
pmt_ab5cd83eab,2026-01-04T07:15:54Z,32307,usd,m_002,marketplace,GB,EU,rtp,,,succeeded,,,authorized,normal,0,0,1666,mobile,auth_opt_v1
pmt_06f5aacb17,2026-03-07T14:21:18Z,47564,usd,m_005,gaming,SG,APAC,card,discover,,refunded,,,not_attempted,normal,0,1,760,mobile,routing_v2
pmt_d223532f0b,2026-01-19T20:17:22Z,10449,usd,m_005,fintech,GB,EU,rtp,,,refunded,,,not_attempted,elevated,0,1,1873,web,routing_v2
pmt_85041f1278,2026-01-25T22:26:12Z,709,usd,m_001,saas,IN,APAC,wallet,,apple_pay,failed,expired_card,customer,declined,normal,0,0,1803,mobile,control
pmt_0f8b07fc1b,2026-02-07T14:22:56Z,28113,usd,m_004,ecommerce,IN,APAC,card,discover,,failed,expired_card,customer,declined,normal,0,0,1306,web,auth_opt_v1
pmt_1f543b7062,2026-03-11T11:24:19Z,37776,usd,m_003,gaming,DE,EU,card,mastercard,,pending,,,not_attempted,elevated,0,0,1582,api,auth_opt_v1
pmt_f9de5946cf,2026-01-24T23:56:09Z,41895,usd,m_005,fintech,CA,NA,card,visa,,failed,insufficient_funds,bank_decline,declined,normal,0,0,1413,api,control
pmt_4497c68a99,2026-01-06T19:31:31Z,10064,usd,m_002,marketplace,BR,LATAM,rtp,,,succeeded,,,authorized,highest,0,0,2958,api,control
pmt_cd3a7783d2,2026-02-14T23:09:03Z,40336,usd,m_003,gaming,US,NA,ach,,,succeeded,,,authorized,elevated,0,0,2210,mobile,control
pmt_a81b3981e4,2026-01-26T23:07:39Z,37265,usd,m_003,fintech,BR,LATAM,ach,,,failed,expired_card,customer,declined,highest,0,0,1909,mobile,control
pmt_a6c17c450c,2026-03-12T02:27:59Z,18545,usd,m_002,marketplace,BR,LATAM,card,discover,,succeeded,,,authorized,normal,0,0,2053,mobile,auth_opt_v1
pmt_c7e6c3c5fe,2026-01-04T11:56:54Z,28581,usd,m_005,marketplace,DE,EU,wallet,,google_pay,pending,,,not_attempted,normal,0,0,1098,web,control
pmt_1e8e6f47a4,2026-03-13T18:51:50Z,38421,usd,m_001,saas,BR,LATAM,card,discover,,refunded,,,not_attempted,normal,0,1,2088,web,routing_v2
pmt_25ed19fdf0,2026-01-22T12:40:21Z,3198,usd,m_004,gaming,GB,EU,wallet,,google_pay,pending,,,not_attempted,normal,0,0,1018,api,auth_opt_v1
pmt_170fbc8087,2026-01-12T04:07:05Z,21595,usd,m_005,gaming,BR,LATAM,ach,,,refunded,,,not_attempted,normal,0,1,900,web,control
pmt_5edc844ffd,2026-01-01T15:25:08Z,8851,usd,m_003,marketplace,IN,APAC,rtp,,,refunded,,,not_attempted,elevated,0,1,1798,api,control
pmt_876e1a5fa1,2026-03-09T23:06:30Z,12816,usd,m_002,gaming,AU,APAC,ach,,,succeeded,,,authorized,elevated,0,0,2138,web,routing_v2
pmt_590c68bd94,2026-02-06T02:45:24Z,44147,usd,m_005,fintech,AU,APAC,rtp,,,succeeded,,,authorized,normal,0,0,2805,api,control
pmt_ab59babf5c,2026-02-04T04:45:18Z,29038,usd,m_001,saas,SG,APAC,card,amex,,succeeded,,,authorized,normal,0,0,1501,web,control
pmt_4c78e05c57,2026-03-01T17:25:10Z,35973,usd,m_003,saas,US,NA,card,amex,,failed,expired_card,customer,declined,highest,0,0,1539,api,routing_v2
pmt_571a5c789e,2026-02-11T21:23:19Z,13833,usd,m_001,marketplace,CA,NA,ach,,,succeeded,,,authorized,elevated,0,0,375,api,control
pmt_511829ae02,2026-02-24T12:59:03Z,21455,usd,m_002,ecommerce,AU,APAC,card,visa,,succeeded,,,authorized,highest,0,0,2403,mobile,control
pmt_ce75e3aa96,2026-03-16T11:00:13Z,1217,usd,m_004,gaming,DE,EU,ach,,,succeeded,,,authorized,highest,0,0,925,web,auth_opt_v1
pmt_ecb6158292,2026-01-29T11:26:37Z,32792,usd,m_002,fintech,GB,EU,rtp,,,failed,fraud_detected,fraud,declined,normal,0,0,2081,web,control
pmt_3c1e19d166,2026-02-15T03:35:23Z,44843,usd,m_002,fintech,GB,EU,card,discover,,succeeded,,,authorized,normal,0,0,1158,mobile,auth_opt_v1
pmt_3d06609a1a,2026-01-08T18:44:15Z,25584,usd,m_004,ecommerce,US,NA,ach,,,pending,,,not_attempted,elevated,0,0,2069,web,routing_v2
pmt_5c6d171bc3,2026-01-28T20:21:35Z,34571,usd,m_004,saas,US,NA,ach,,,succeeded,,,authorized,elevated,0,0,2405,api,routing_v2
pmt_859a16387f,2026-01-14T14:01:50Z,6430,usd,m_002,gaming,CA,NA,card,visa,,succeeded,,,authorized,elevated,0,0,2034,api,auth_opt_v1
pmt_d738346164,2026-02-07T06:12:33Z,37190,usd,m_003,marketplace,IN,APAC,wallet,,google_pay,succeeded,,,authorized,normal,0,0,1560,web,control
pmt_4bd0894aa4,2026-01-22T04:23:59Z,42861,usd,m_003,gaming,IN,APAC,wallet,,apple_pay,failed,network_error,technical,declined,normal,0,0,616,mobile,routing_v2
pmt_715504fc8d,2026-01-22T10:43:56Z,31928,usd,m_002,gaming,BR,LATAM,card,amex,,succeeded,,,authorized,elevated,0,0,948,mobile,auth_opt_v1
pmt_99881c7577,2026-01-23T16:51:38Z,36772,usd,m_003,marketplace,BR,LATAM,ach,,,pending,,,not_attempted,highest,0,0,1827,mobile,auth_opt_v1
pmt_f0a932ed8c,2026-02-05T17:15:01Z,42148,usd,m_005,fintech,BR,LATAM,wallet,,apple_pay,failed,do_not_honor,bank_decline,declined,normal,0,0,345,api,routing_v2
pmt_2480f33692,2026-03-08T01:18:29Z,25857,usd,m_002,ecommerce,GB,EU,ach,,,succeeded,,,authorized,highest,0,0,1083,web,auth_opt_v1
pmt_16d79a5ec7,2026-01-01T19:45:48Z,47286,usd,m_001,fintech,IN,APAC,card,amex,,succeeded,,,authorized,elevated,0,0,875,api,routing_v2
pmt_fb8071054c,2026-01-15T02:53:15Z,31092,usd,m_002,fintech,CA,NA,card,mastercard,,pending,,,not_attempted,normal,0,0,653,mobile,auth_opt_v1
pmt_65589faeb6,2026-01-01T11:19:27Z,17455,usd,m_002,marketplace,SG,APAC,card,amex,,succeeded,,,authorized,normal,0,0,1357,mobile,control
pmt_322afe21d3,2026-01-03T13:23:28Z,15422,usd,m_001,saas,BR,LATAM,card,visa,,refunded,,,not_attempted,normal,0,1,1923,mobile,auth_opt_v1
pmt_7a378dc726,2026-01-15T03:44:19Z,31810,usd,m_003,ecommerce,GB,EU,card,amex,,succeeded,,,authorized,normal,0,0,532,web,control
pmt_6476acd8d1,2026-01-11T03:18:16Z,11453,usd,m_003,saas,BR,LATAM,card,discover,,failed,insufficient_funds,bank_decline,declined,highest,0,0,604,web,routing_v2
pmt_41e86efe96,2026-01-21T02:45:54Z,44529,usd,m_002,gaming,GB,EU,wallet,,google_pay,pending,,,not_attempted,normal,0,0,728,mobile,routing_v2
pmt_82656cb879,2026-02-24T18:26:51Z,16421,usd,m_002,saas,DE,EU,wallet,,google_pay,refunded,,,not_attempted,highest,0,1,1987,mobile,control
pmt_7284493216,2026-01-08T06:24:03Z,19221,usd,m_001,fintech,BR,LATAM,rtp,,,succeeded,,,authorized,elevated,0,0,581,web,control
pmt_93421d5469,2026-02-23T20:22:11Z,48875,usd,m_004,gaming,IN,APAC,ach,,,failed,do_not_honor,bank_decline,declined,highest,0,0,1330,api,routing_v2
pmt_1ec2105a04,2026-01-10T07:51:34Z,10743,usd,m_002,ecommerce,DE,EU,wallet,,google_pay,succeeded,,,authorized,normal,0,0,1065,api,control
pmt_d913f63871,2026-02-25T10:38:33Z,49048,usd,m_003,marketplace,DE,EU,wallet,,apple_pay,succeeded,,,authorized,normal,0,0,1102,mobile,control
pmt_8c91a61834,2026-02-20T07:11:37Z,9647,usd,m_004,saas,AU,APAC,wallet,,google_pay,refunded,,,not_attempted,normal,0,1,1377,api,routing_v2
pmt_c1c5654aaa,2026-02-03T12:10:01Z,8929,usd,m_002,gaming,BR,LATAM,card,mastercard,,failed,do_not_honor,bank_decline,declined,elevated,0,0,947,mobile,auth_opt_v1
pmt_cb36254ce6,2026-03-09T02:47:27Z,40919,usd,m_005,saas,DE,EU,card,amex,,succeeded,,,authorized,highest,0,0,2197,web,auth_opt_v1
pmt_426d750a81,2026-01-11T23:12:52Z,10996,usd,m_001,marketplace,US,NA,ach,,,succeeded,,,authorized,normal,0,0,2018,mobile,control
pmt_77ef623427,2026-01-13T22:56:45Z,4905,usd,m_005,marketplace,BR,LATAM,card,amex,,refunded,,,not_attempted,highest,0,1,920,api,routing_v2
pmt_e86ae73785,2026-02-15T13:34:50Z,21388,usd,m_002,saas,AU,APAC,wallet,,apple_pay,succeeded,,,authorized,normal,0,0,859,api,control
pmt_b11ed50e8d,2026-03-08T01:01:11Z,10091,usd,m_002,ecommerce,US,NA,card,discover,,refunded,,,not_attempted,elevated,0,1,1317,mobile,auth_opt_v1
pmt_e12a3afbc4,2026-03-01T13:52:54Z,16483,usd,m_005,saas,GB,EU,card,mastercard,,succeeded,,,authorized,highest,0,0,1119,web,routing_v2
pmt_69984a11e4,2026-03-09T22:25:40Z,19511,usd,m_005,gaming,SG,APAC,rtp,,,succeeded,,,authorized,elevated,0,0,1071,api,auth_opt_v1
pmt_18f5763ecf,2026-01-25T08:02:53Z,17895,usd,m_003,saas,AU,APAC,ach,,,succeeded,,,authorized,normal,0,0,674,api,control
pmt_18c6776be7,2026-03-16T08:44:32Z,8553,usd,m_003,gaming,CA,NA,ach,,,succeeded,,,authorized,normal,0,0,1300,api,control
pmt_2431d09864,2026-01-22T00:18:02Z,33420,usd,m_005,marketplace,BR,LATAM,rtp,,,failed,network_error,technical,declined,normal,0,0,1910,api,auth_opt_v1
pmt_55219916bb,2026-02-20T05:09:56Z,2857,usd,m_005,marketplace,AU,APAC,wallet,,apple_pay,pending,,,not_attempted,normal,0,0,2783,mobile,routing_v2
pmt_0209c4ffc3,2026-02-23T20:39:06Z,3228,usd,m_002,marketplace,SG,APAC,card,discover,,succeeded,,,authorized,highest,0,0,1863,api,control
pmt_455cf10afd,2026-01-08T11:07:27Z,37672,usd,m_003,marketplace,BR,LATAM,rtp,,,refunded,,,not_attempted,normal,0,1,2898,api,control
pmt_7047e3b871,2026-01-05T05:18:26Z,32548,usd,m_003,ecommerce,GB,EU,rtp,,,succeeded,,,authorized,normal,0,0,2636,mobile,auth_opt_v1
pmt_eff6924ca6,2026-02-22T09:55:33Z,42255,usd,m_005,marketplace,DE,EU,card,mastercard,,refunded,,,not_attempted,elevated,0,1,1213,mobile,control
pmt_fe39997895,2026-01-25T23:58:58Z,29336,usd,m_001,gaming,BR,LATAM,card,mastercard,,refunded,,,not_attempted,normal,0,1,750,mobile,control
pmt_9c289a9ad8,2026-02-06T01:42:00Z,47416,usd,m_002,fintech,US,NA,wallet,,apple_pay,succeeded,,,authorized,elevated,0,0,1007,api,control
pmt_0f06dc9dd1,2026-01-21T12:46:31Z,18652,usd,m_002,saas,GB,EU,rtp,,,failed,expired_card,customer,declined,elevated,0,0,283,web,routing_v2
pmt_eb7d58cefd,2026-03-12T22:59:15Z,37291,usd,m_001,fintech,DE,EU,ach,,,succeeded,,,authorized,normal,0,0,1975,web,routing_v2
pmt_bd0034374e,2026-02-12T15:37:35Z,4940,usd,m_002,ecommerce,BR,LATAM,card,visa,,pending,,,not_attempted,elevated,0,0,2559,web,routing_v2
pmt_706660d089,2026-01-09T07:50:25Z,9883,usd,m_004,marketplace,US,NA,card,amex,,succeeded,,,authorized,highest,0,0,1622,mobile,auth_opt_v1
pmt_ef56353ff0,2026-03-06T20:36:09Z,1320,usd,m_003,saas,GB,EU,rtp,,,pending,,,not_attempted,highest,0,0,320,api,control
pmt_a370434539,2026-02-11T07:17:33Z,12012,usd,m_003,fintech,IN,APAC,ach,,,succeeded,,,authorized,highest,0,0,857,mobile,control
pmt_ce17201071,2026-01-27T01:01:46Z,3138,usd,m_002,ecommerce,CA,NA,card,visa,,succeeded,,,authorized,elevated,0,0,2554,api,control
pmt_0120a7683f,2026-01-25T17:26:30Z,44678,usd,m_002,marketplace,CA,NA,ach,,,failed,do_not_honor,bank_decline,declined,normal,0,0,1970,mobile,control
pmt_daddaa5fa9,2026-02-14T13:51:49Z,47748,usd,m_004,saas,DE,EU,wallet,,google_pay,refunded,,,not_attempted,normal,0,1,1901,mobile,routing_v2
pmt_133fd07cc4,2026-03-10T08:00:26Z,14859,usd,m_005,gaming,CA,NA,ach,,,succeeded,,,authorized,elevated,0,0,1555,web,control
pmt_0c135e8878,2026-01-26T03:09:57Z,40035,usd,m_004,marketplace,BR,LATAM,ach,,,failed,do_not_honor,bank_decline,declined,elevated,0,0,378,api,auth_opt_v1
pmt_77ce27df1d,2026-03-11T09:38:05Z,40191,usd,m_003,ecommerce,SG,APAC,card,amex,,succeeded,,,authorized,normal,0,0,1140,mobile,control
pmt_69509fb338,2026-03-01T00:55:30Z,39996,usd,m_002,saas,DE,EU,card,visa,,succeeded,,,authorized,normal,0,0,1226,mobile,auth_opt_v1
pmt_acf15c723e,2026-01-16T22:34:58Z,6256,usd,m_004,marketplace,SG,APAC,ach,,,succeeded,,,authorized,normal,0,0,207,api,routing_v2
pmt_b315a0a48a,2026-02-17T14:54:00Z,46942,usd,m_004,fintech,AU,APAC,wallet,,google_pay,succeeded,,,authorized,elevated,0,0,2726,api,control
pmt_14165e42cd,2026-01-17T14:51:38Z,3909,usd,m_001,gaming,IN,APAC,card,visa,,succeeded,,,authorized,highest,0,0,748,web,auth_opt_v1
pmt_3093a9e9bb,2026-02-19T07:34:24Z,33710,usd,m_003,gaming,US,NA,card,visa,,pending,,,not_attempted,normal,0,0,1385,web,control
pmt_a89993570f,2026-01-27T19:12:14Z,22144,usd,m_002,fintech,IN,APAC,card,visa,,failed,network_error,technical,declined,normal,0,0,869,api,routing_v2
pmt_069e2db61f,2026-03-12T20:09:32Z,33579,usd,m_005,marketplace,US,NA,card,visa,,failed,network_error,technical,declined,highest,0,0,436,web,routing_v2
pmt_c309b33623,2026-02-14T17:35:10Z,23821,usd,m_003,fintech,GB,EU,card,mastercard,,succeeded,,,authorized,normal,0,0,1758,web,routing_v2
pmt_d0307144d5,2026-02-01T22:04:19Z,7501,usd,m_003,fintech,IN,APAC,card,discover,,failed,fraud_detected,fraud,declined,normal,0,0,736,web,routing_v2
pmt_5a9fadc9e1,2026-02-12T23:41:20Z,18419,usd,m_003,marketplace,US,NA,card,amex,,pending,,,not_attempted,normal,0,0,317,web,routing_v2
pmt_fc7d2adc62,2026-03-11T23:32:01Z,34456,usd,m_003,ecommerce,SG,APAC,card,discover,,pending,,,not_attempted,normal,0,0,345,mobile,auth_opt_v1
pmt_64efc63381,2026-02-15T02:13:05Z,14734,usd,m_003,gaming,CA,NA,card,visa,,succeeded,,,authorized,normal,0,0,2147,api,control
pmt_26a8e024bf,2026-02-19T11:25:52Z,16662,usd,m_002,fintech,AU,APAC,card,mastercard,,succeeded,,,authorized,elevated,0,0,1603,api,control
pmt_21a5824803,2026-01-07T15:17:30Z,29530,usd,m_004,marketplace,CA,NA,card,visa,,refunded,,,not_attempted,highest,0,1,2195,api,control
pmt_7412134a5d,2026-01-05T18:42:49Z,427,usd,m_004,fintech,IN,APAC,rtp,,,succeeded,,,authorized,elevated,0,0,807,mobile,control
pmt_f2b7073edf,2026-03-17T00:05:40Z,1960,usd,m_003,gaming,GB,EU,card,discover,,failed,network_error,technical,declined,normal,0,0,2898,web,control
pmt_2a0cacd038,2026-02-16T10:01:32Z,2061,usd,m_004,gaming,AU,APAC,card,amex,,succeeded,,,authorized,highest,0,0,2398,web,auth_opt_v1
pmt_c77b37fdf5,2026-01-02T03:30:12Z,38434,usd,m_003,saas,AU,APAC,card,amex,,failed,network_error,technical,declined,normal,0,0,1717,web,routing_v2
pmt_9f24d9e05d,2026-02-26T18:39:48Z,17919,usd,m_001,saas,AU,APAC,wallet,,google_pay,succeeded,,,authorized,normal,0,0,2081,web,control
pmt_5c736925c5,2026-03-17T11:48:24Z,36380,usd,m_003,marketplace,SG,APAC,card,visa,,succeeded,,,authorized,elevated,0,0,627,api,control
pmt_6acdd972af,2026-02-13T07:43:29Z,28356,usd,m_001,ecommerce,BR,LATAM,ach,,,succeeded,,,authorized,normal,0,0,2767,mobile,control
pmt_53ed8dd523,2026-01-15T10:05:16Z,20396,usd,m_005,fintech,GB,EU,ach,,,succeeded,,,authorized,normal,0,0,1332,web,routing_v2
pmt_54ccc9b4f2,2026-01-28T04:57:35Z,49177,usd,m_004,gaming,AU,APAC,wallet,,apple_pay,refunded,,,not_attempted,elevated,0,1,2482,mobile,control
pmt_7fa8993a0b,2026-03-02T06:45:45Z,11995,usd,m_001,ecommerce,US,NA,wallet,,google_pay,succeeded,,,authorized,elevated,0,0,1409,api,control
pmt_ba46651e16,2026-03-11T05:27:12Z,37678,usd,m_003,gaming,DE,EU,rtp,,,refunded,,,not_attempted,normal,0,1,3000,web,control
pmt_10e7655f13,2026-03-07T21:14:21Z,7839,usd,m_002,marketplace,AU,APAC,card,visa,,succeeded,,,authorized,normal,0,0,1851,web,auth_opt_v1
pmt_474e14ee19,2026-02-20T08:54:41Z,19818,usd,m_004,saas,SG,APAC,ach,,,pending,,,not_attempted,normal,0,0,296,mobile,control
pmt_9d5a7d95f8,2026-02-05T21:29:45Z,24381,usd,m_003,saas,GB,EU,rtp,,,pending,,,not_attempted,normal,0,0,1067,web,control
pmt_3f2b1375b2,2026-02-04T05:49:45Z,7547,usd,m_002,marketplace,DE,EU,rtp,,,succeeded,,,authorized,normal,0,0,1177,mobile,control
pmt_65a3210cf5,2026-03-03T02:54:25Z,43502,usd,m_005,ecommerce,BR,LATAM,card,discover,,succeeded,,,authorized,highest,0,0,956,api,control
pmt_80d78b4445,2026-02-27T15:04:56Z,27147,usd,m_003,marketplace,DE,EU,wallet,,apple_pay,failed,expired_card,customer,declined,elevated,0,0,1091,api,control
pmt_4152b9fb08,2026-02-03T06:17:28Z,39727,usd,m_001,gaming,BR,LATAM,card,discover,,succeeded,,,authorized,highest,0,0,1390,mobile,auth_opt_v1
pmt_5f7b9fbff5,2026-03-17T01:16:15Z,44103,usd,m_005,saas,CA,NA,card,visa,,succeeded,,,authorized,normal,0,0,917,web,control
